;Id_Trade;Moeda;Preco Dolar;Preco Reais;Volume;Tamanho
0;1893555;GST;0.0096;0.0467;2037095.69;14320.6
1;36786744;GRT;0.0879;0.4278;22627858.15;101.59
2;3332199;RARI;0.89;4.3313;14394.883;183.352
3;594412;DREP;0.2374;1.1553;78228.67;910.0
4;8465999;FARM;22.03;107.2112;2418.402;20.943
5;51202111;BCH;220.88;1074.9346;51361.11282295;9.051e-05
6;1642845;GMT;0.1569;0.7636;491752.53;1.22
7;839927;DIA;0.2252;1.096;8741.96;22.07
8;65554685;ALGO;0.0978;0.476;7607193.7;20.2
9;34008403;ETC;15.93;77.5249;42156.8406086;1.022
10;70508;JASMYT;0.0036;0.0175;1162732.0;1799.0
11;17745151;FET;0.2393;1.1646;6430821.5;873.3
12;7778284;POLY;0.123;0.5986;285026.0;37.0
13;115145;BTRSTT;0.32;1.5573;16328.9;38.84
14;391933;BOBA;0.1166;0.5674;265692.9;42.6
15;3416882;SYN;0.333;1.6206;1681999.19;1647.0
16;1217271;FORT;0.1127;0.5485;146235.72;11.11
17;225645;LINKT;6.4;31.1462;3783.05;0.776
18;2946757;CRPT;0.0722;0.3514;4833438.2;3320.5
19;102160295;SHIB;0.0;0.0;606867826196.0;138626.0
20;1403750;SPELLT;0.0005;0.0024;122851581.0;1867.0
21;747449;OCEAN;0.3216;1.5651;305560.7;315.5
22;222604;ATA;0.0794;0.3864;81923.1;330.0
23;4373975;MASK;2.65;12.8965;40537.93;18.75
24;215068;AXL;0.3531;1.7184;75001.1;15.4
25;12574445;XYO;0.0029;0.0141;23386008.2;417.1
26;9493049;CHZ;0.0602;0.293;1506386.8;44.8
27;3123553;INV;26.51;129.0136;1022.7415;3.5828
28;101722;NEART;1.14;5.5479;15238.752;4.459
29;33894956;AMP;0.0017;0.0083;231902053.0;580.0
30;12248062;NMR;13.19;64.1905;46299.615;0.692
31;2460238;QSP;0.0101;0.0492;1490314.0;19.0
32;21424182;ACH;0.0158;0.0769;46617416.7;206203.2
